rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
78,78,The Black Crowes,Jealous Again,80,6,NA,NA,NA,NA,the-black-crowes-53x53.jpg
79,79,The U-Krew,Let Me Be Your Lover,97,2,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
80,17,Adam Ant,Room At The Top,60,15,NA,NA,NA,NA,adam-ant-cr8-53x53.jpg
81,81,Danger Danger,Bang Bang,92,3,NA,NA,NA,NA,danger-danger-nzq-53x53.jpg
82,40,Timmy T.,Time After Time,72,15,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
83,53,Michael Penn,This & That,62,8,NA,NA,NA,NA,michael-penn-r15-53x53.jpg
84,84,KISS,Rise To It,93,2,NA,NA,NA,NA,kiss-53x53.jpg
85,49,The Cover Girls,All That Glitters Isn't Gold,83,11,NA,NA,NA,NA,the-cover-girls-tsx-53x53.jpg
86,54,Soul II Soul,Get A Life,84,10,NA,NA,NA,NA,soul-ii-soul-v8v-53x53.jpg
87,59,D-Mob With Cathy Dennis,That's The Way Of The World,85,8,NA,NA,NA,NA,d-mob-k40-53x53.jpg
88,NA,Seiko & Donnie Wahlberg,The Right Combination,NA,NA,NA,NA,NA,NA,seiko-pgz-53x53.jpg
89,8,Motley Crue,Without You,76,17,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
90,1,Alannah Myles,Black Velvet,71,24,NA,NA,NA,NA,alannah-myles-bdi-53x53.jpg
91,NA,49-ers,Don't You Love Me,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
92,NA,A'me Lorain,Follow My Heartbeat,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
93,NA,Little Caesar,Chain Of Fools,NA,NA,NA,NA,NA,NA,little-caesar-izm-53x53.jpg
94,9,Biz Markie,Just A Friend,81,22,NA,NA,NA,NA,biz-markie-684-53x53.jpg
95,33,Fleetwood Mac,Save Me,86,11,NA,NA,NA,NA,fleetwood-mac-53x53.jpg
96,38,Electronic,Getting Away With It,66,12,NA,NA,NA,NA,electronic-f2h-53x53.jpg
97,78,Linda Ronstadt (Featuring Aaron Neville),When Something Is Wrong With My Baby,89,6,NA,NA,NA,NA,aaron-neville-wa6-53x53.jpg
98,77,Andrew Ridgeley,Shake,90,6,NA,NA,NA,NA,andrew-ridgeley-ehw-53x53.jpg
99,98,Michael McDonald,Take It To Heart,98,2,NA,NA,NA,NA,michael-mcdonald-ad4-53x53.jpg
100,1,Tommy Page,I'll Be Your Everything,68,18,NA,NA,NA,NA,tommy-page-t13-53x53.jpg
