rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
61,61,George LaMond (Duet With Brenda K. Starr),No Matter What,69,3,NA,NA,NA,NA,george-lamond-wkd-53x53.jpg
62,4,Pebbles,Giving You The Benefit,44,18,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
63,63,Iggy Pop With Kate Pierson,Candy,68,4,NA,NA,NA,NA,kate-pierson-zv8-53x53.jpg
64,64,After 7,Heat Of The Moment,70,16,NA,NA,NA,NA,after-7-zay-53x53.jpg
65,65,Celine Dion,Where Does My Heart Beat Now,80,2,NA,NA,NA,NA,celine-dion-0hi-53x53.jpg
66,66,Pebbles,Love Makes Things Happen,74,3,NA,NA,NA,NA,pebbles-xsh-53x53.jpg
67,67,AC/DC,Moneytalks,76,2,NA,NA,NA,NA,ac-dc-53x53.jpg
68,19,Concrete Blonde ,Joey,55,18,NA,NA,NA,NA,concrete-blonde-91p-53x53.jpg
69,69,Chris Isaak,Wicked Game,77,3,NA,NA,NA,NA,chris-isaak-9xn-53x53.jpg
70,10,Warrant,Cherry Pie,45,15,NA,NA,NA,NA,warrant-53x53.jpg
71,71,Jude Cole,House Full Of Reasons,73,3,NA,NA,NA,NA,jude-cole-axa-53x53.jpg
72,72,Cinderella,Shelter Me,89,2,NA,NA,NA,NA,cinderella-g19-53x53.jpg
73,27,David Cassidy,Lyin' To Myself,52,13,NA,NA,NA,NA,david-cassidy-s19-53x53.jpg
74,74,Black Box,I Don't Know Anybody Else,86,2,NA,NA,NA,NA,black-box-a2z-53x53.jpg
75,42,Al B. Sure!,Missunderstanding,67,10,NA,NA,NA,NA,al-b-sure-box-53x53.jpg
76,76,Tevin Campbell,Round And Round,78,2,NA,NA,NA,NA,tevin-campbell-zoh-53x53.jpg
77,77,Trixter,Give It To Me Good,87,3,NA,NA,NA,NA,trixter-fdw-53x53.jpg
78,50,Cheap Trick,Wherever Would I Be,61,8,NA,NA,NA,NA,cheap-trick-53x53.jpg
79,1,Janet Jackson,Black Cat,58,14,NA,NA,NA,NA,janet-jackson-exg-53x53.jpg
80,80,TKA Featuring Michelle Visage,Crash (Have Some Fun),85,3,NA,NA,NA,NA,tka-2mq-53x53.jpg
81,81,Styx,Show Me The Way,96,2,NA,NA,NA,NA,styx-53x53.jpg
82,82,Maxi Priest ,Just A Little Bit Longer,84,2,NA,NA,NA,NA,maxi-priest-myk-53x53.jpg
83,83,Joey B. Ellis & Tynetta Hare,Go For It! (Heart And Fire),92,2,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
84,13,The Righteous Brothers,Unchained Melody,72,17,NA,NA,NA,NA,the-righteous-brothers-bit-53x53.jpg
85,79,The Party,I Found Love,88,7,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
86,NA,Pat & Mick,Use It Up And Wear It Out,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
87,1,Nelson,(Can't Live Without Your) Love And Affection,75,24,NA,NA,NA,NA,nelson-53x53.jpg
88,4, Phil Collins,Something Happened On The Way To Heaven,91,20,NA,NA,NA,NA,phil-collins-53x53.jpg
89,NA,Oleta Adams,Get Here,NA,NA,NA,NA,NA,NA,oleta-adams-exw-53x53.jpg
90,NA,Notorious,The Swalk ,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
91,91, Special Generation,Love Me Just For Me,95,2,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
92,19,Slaughter,Fly To the Angels,64,18,NA,NA,NA,NA,slaughter-53x53.jpg
93,NA,Urban Dance Squad,Deeper Shade Of Soul,NA,NA,NA,NA,NA,NA,urban-dance-squad-ixm-53x53.jpg
94,79,The Soup Dragons,I'm Free,79,5,NA,NA,NA,NA,the-soup-dragons-2or-53x53.jpg
95,NA,Candyman,Melt In Your Mouth,NA,NA,NA,NA,NA,NA,candyman-b0u-53x53.jpg
96,NA,Paul Simon,The Obvious Child,NA,NA,NA,NA,NA,NA,paul-simon-53x53.jpg
97,14,Kyper,Tic-Tac-Toe,81,25,NA,NA,NA,NA,kyper-4ia-53x53.jpg
98,8,Paul Young,Oh Girl,94,23,NA,NA,NA,NA,paul-young-mlj-53x53.jpg
99,65,Vaughan Brothers,Tick Tock,83,9,NA,NA,NA,NA,vaughan-brothers-anr-53x53.jpg
100,71,Vixen,Love Is A Killer,82,6,NA,NA,NA,NA,vixen-16q-53x53.jpg
