rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart,img_link
87,NA,Calloway,All The Way,NA,NA,NA,NA,NA,NA,calloway-4yt-53x53.jpg
88,88,Jimmy Ryser,Same Old Look,93,2,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
89,10,Perfect Gentlemen,Ooh La La (I Can't Get Over You),69,15,NA,NA,NA,NA,perfect-gentlemen-vqj-53x53.jpg
90,NA,The Party,Summer Vacation,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
91,50,ZZ Top,"Doubleback (From ""Back To The Future Part III"")",79,10,NA,NA,NA,NA,zz-top-n4e-53x53.jpg
92,NA,The Adventures Of Stevie V,Dirty Cash (Money Talks),NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
93,26,Salt-N-Pepa,Expression,84,20,NA,NA,NA,NA,salt-n-pepa-33c-53x53.jpg
94,32,Brent Bourgeois ,Dare To Fall In Love,76,13,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
95,95,Tiana,First True Love,96,2,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
96,96,Bad Company,Holy Water,97,2,NA,NA,NA,NA,bad-company-h37-87x87.jpg
97,NA,Doc Box & B. Fresh,Slow Love,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
98,NA,Timmy T.,What Will I Do,NA,NA,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
99,70,Joey Kid,Counting The Days,87,12,NA,NA,NA,NA,joey-kid-6lp-53x53.jpg
100,72,A'me Lorain,Follow My Heartbeat,74,6,NA,NA,NA,NA,bb-placeholder-new.jpg?28769be5cab2747d40a1
